"Konstruktiv  bzw. lösungsorientiert ist der Text, wenn er folgendes beinhaltet oder folgende Fragen beantwortet werden: ",Nicht konstruktiv bzw. nicht lösungsorientiert ist der Text wenn er :
Das Problem wird verständlich erklärt,Kriesen  übertrieben darstellen (im Verhältnis zu den Lösungen)
Wie geht es jetzt weiter?,Moralisiert
Werden Lösungen präsentiert?,Drohungen enthält
Wer arbeitet an den Lösungen?,"Worte wie müssen, fordern, zwingend, immer, nie,  verzicht enthält"
Wie wirken die Lösungen?,Angst macht
Methode des Lösungsansatzes,Panik macht
"Was sind echte Lösungen, was sind Scheinlösungen?",Sensationsgeil ist
Faktenbasierte Argumentation,nur die News betont
Belege für die Lösungen,Nur Alarm schlagen will
ist der Lösungsansatz skalierbar? ,Nur Konflikte und Klüfte aufzeigt
"Risiken des Lösungsansatzes, Grenzen und Nebenwirkungen des Lösungsansatzes",Nur Schwarz weiss ist.
Er berschreibt die Wirklichkeit,Gut gegen Schlecht 
Er ist nicht wertend. ,zynisch ist
"Kontext wird erschlossen, Einordnung gemacht, Entwicklung aufgezeigt",Populistisch ist (simple Parolen als Retter vor der Gefahr)
Zukunftsperspektiven werden aufgezeigt,polarisiert
zeigen ein komplettes Bild der Wirklichkeit,fake news verbreitet
Erfolgsaussichten werden analysiert,"so starke Vereinfacht, dass die Realität nicht mehr abgebildet wird"
"zum Denken anregen, ","5 vor 12 Kommunikation verwendet (bspw Wenn wir jetzt nicht, dann… // Letzte Chance! // Heute, weil morgen ist es zu spät / Nur du kannst noch helfen // einzige Chance //)  "
Es wird auf komplexität des Problems eingegangen,Schreckensszenarien betrachtet
zeigt er Möglichkeiten der Selbstwirksamkeit auf,Falsche Zahlen angibt
Fördern Dialog,Skanalisierung durch Einzelereignisse verwendet
sind moderierend,Lügen verbreitet
Enthält Tipps,Verallgemeinerungen trifft
Enthält Beispiele aus dem Alltag,"Kommunikation von ""oben herab"", elitäre Sprache verwendet"
"Berichtet von zivilgesellschaftlichem Engagement, von Menschen, die Mut machen und andere inspirieren",Besserwisserisch wirkt
Fortschrittsbericht enthält,"Einen Zustand beschreibt, ohne Kontext, ohne Einordnung, Ohne Zukunftsblick"
"schafft Nähe (Persönliche Geschichte, Leser-Touchpoint)",
Entlarft mythen,
Macht Lust zu Handeln,
Kommunikation auf Augenhöhe,
"Was macht Mut, inspiriert",
